City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Victor Harbor,75,AU,1553365390,82,-35.55,138.62,68.0,4.7
Alta Floresta,75,BR,1553360400,94,-9.87,-56.08,77.0,3.36
Storforshei,88,NO,1553365214,93,66.4,14.52,36.0,11.99
Kuantan,75,MY,1553360400,88,3.82,103.33,78.8,1.83
Pangody,88,RU,1553365394,89,65.85,74.49,25.69,6.42
Baculin,48,PH,1553365394,95,7.45,126.58,73.57,11.34
Tefe,75,BR,1553364000,83,-3.35,-64.71,82.4,12.75
Aklavik,75,CA,1553364000,67,68.22,-135.01,17.6,20.8
Iqaluit,90,CA,1553365371,77,63.75,-68.52,5.0,27.51
Dali,20,CN,1553365395,87,25.6,100.24,50.17,5.41
Nakusp,44,CA,1553365395,77,50.24,-117.8,37.57,1.95
Nortelandia,0,BR,1553365395,82,-14.45,-56.8,87.07,4.18
Saint-Augustin,0,FR,1553365089,28,44.83,-0.61,69.8,9.17
Hegang,20,CN,1553365395,51,47.34,130.28,4.09,3.62
Deputatskiy,0,RU,1553365396,0,69.3,139.9,-31.38,2.62
Dolny Kubin,0,SK,1553365396,58,49.21,19.3,57.2,2.24
Kutum,36,SD,1553365396,41,14.2,24.66,76.99,2.95
Tambacounda,0,SN,1553360400,36,13.77,-13.67,93.2,6.93
Bontang,0,ID,1553365396,98,0.12,117.47,81.31,11.56
Grindavik,90,IS,1553364998,100,63.84,-22.43,39.0,16.11
Gat,20,SN,1553364000,60,14.69,-16.54,73.4,16.11
Itoman,20,JP,1553364318,51,26.12,127.67,62.6,14.99
Talaya,0,RU,1553365232,86,55.79,84.89,30.0,2.24
Buctzotz,0,MX,1553365397,32,21.2,-88.79,87.52,4.29
Manaira,92,BR,1553365398,89,-7.71,-38.15,75.55,5.75
Coahuayana,0,MX,1553365398,24,18.62,-100.35,85.09,3.06
Kalabo,0,ZM,1553365401,28,-15.0,22.67,83.11,10.22
San Quintin,0,PH,1553365401,84,17.54,120.52,64.12,4.07
Tuatapere,76,NZ,1553365206,90,-46.13,167.69,55.99,6.76
Guanica,75,PR,1553365237,69,17.97,-66.91,82.99,17.22
Half Moon Bay,20,US,1553365384,76,37.46,-122.43,59.0,8.05
Sampit,48,ID,1553365402,93,-2.54,112.95,74.56,2.73
Union,90,US,1553365401,81,47.36,-123.1,55.0,0.83
Ziro,80,IN,1553365403,97,27.54,93.82,49.18,1.16
Ferme-Neuve,0,CA,1553365251,47,46.7,-75.45,30.1,9.89
Miyoshi,56,JP,1553365092,46,34.81,132.85,34.0,5.75
Nyuksenitsa,64,RU,1553365404,89,60.41,44.24,31.27,10.33
Kapustin Yar,76,RU,1553365404,70,48.58,45.77,36.04,5.64
Vestmannaeyjar,75,IS,1553364000,93,63.44,-20.27,37.4,26.4
Marolambo,92,MG,1553365404,95,-20.05,48.13,64.03,2.39
Tabuk,76,PH,1553365405,87,17.41,121.44,58.18,1.61
Luwuk,44,ID,1553365405,97,-0.95,122.79,79.42,3.18
Hue,40,VN,1553362200,100,16.47,107.58,78.8,5.82
Vila,0,IT,1553365389,27,45.18,8.4,66.2,4.7
Whitehorse,75,CA,1553365373,60,60.72,-135.06,42.8,9.17
Todos Santos,5,MX,1553365223,23,23.45,-110.23,81.0,5.08
Staunton,1,US,1553364975,21,38.15,-79.07,57.99,12.75
Dicabisagan,24,PH,1553365406,100,17.08,122.42,69.7,7.31
Moose Factory,1,CA,1553364000,51,51.26,-80.61,35.6,17.22
Xining,8,CN,1553365310,53,36.62,101.77,17.59,3.62
Wattegama,12,LK,1553365407,93,7.35,80.68,68.98,2.51
Cap Malheureux,75,MU,1553365140,83,-19.98,57.61,80.6,10.29
Faya,40,SA,1553360400,63,18.39,42.45,66.2,9.17
Arlit,92,NE,1553365407,26,18.74,7.39,83.29,5.3
Kranjska Gora,5,IT,1553365328,66,46.49,13.78,66.0,1.61
Port Macquarie,36,AU,1553365205,100,-31.43,152.91,70.0,2.24
Marawi,32,PH,1553364914,88,8.0,124.29,73.0,5.01
Pimentel,48,BR,1553365411,77,-3.7,-45.5,85.18,4.74
Timbuktu,0,ML,1553365411,14,16.77,-3.01,92.65,2.95
Madimba,75,CM,1553364000,83,4.42,9.93,84.2,3.36
Soller,75,DE,1553365393,66,50.73,6.56,54.0,5.82
Chimore,88,BO,1553365412,76,-16.98,-65.13,78.34,3.74
Tyrma,0,RU,1553365412,62,50.04,132.17,-4.47,2.39
Mmabatho,0,ZA,1553364000,53,-25.85,25.61,71.6,6.93
Ouadda,100,CF,1553365412,25,8.07,22.4,93.37,6.53
Gigmoto,0,PH,1553365413,100,13.78,124.39,75.01,10.0
Vila Velha,75,BR,1553364761,78,-3.71,-38.6,82.4,10.29
Santa Lucia,40,IT,1553364601,54,39.93,9.66,59.0,2.24
Krasnogorsk,0,RU,1553365307,59,55.82,37.34,37.4,8.95
Batagay,48,RU,1553365414,41,67.65,134.64,-13.92,2.73
Okha,24,RU,1553365415,79,53.59,142.95,-1.32,11.45
Gazanjyk,0,TM,1553365415,90,39.24,55.52,46.12,7.65
College,40,US,1553365332,59,64.86,-147.8,39.99,4.7
Siwan,0,IN,1553365418,36,26.22,84.36,74.47,11.9
Yenagoa,32,NG,1553365179,68,4.92,6.26,82.75,8.43
Ostashkov,48,RU,1553365419,83,57.14,33.12,32.89,12.35
Makokou,64,GA,1553365419,83,0.56,12.85,77.71,3.51
Goksun,0,TR,1553363400,47,38.02,36.5,55.4,5.82
Boali,40,CF,1553364000,62,4.81,18.11,87.8,5.82
Kachug,36,RU,1553365420,77,53.96,105.89,18.31,5.53
Dawlatabad,0,AF,1553365420,78,36.41,64.91,46.21,9.78
Rome,0,IT,1553364919,59,41.89,12.48,64.4,3.36
Batticaloa,0,LK,1553365420,100,7.71,81.69,79.15,5.64
Atamanskaya,0,RU,1553364917,92,46.17,39.63,42.01,9.55
Ballitoville,0,ZA,1553365239,83,-29.54,31.21,75.2,13.87
Erdenet,0,MN,1553365421,50,49.03,104.04,17.5,5.97
Kars,40,TR,1553363400,47,40.61,43.1,37.4,8.05
Healesville,75,AU,1553365399,82,-37.65,145.52,66.99,5.82
Piacabucu,20,BR,1553365422,100,-10.41,-36.43,83.29,4.41
Freeport,0,BS,1553360400,44,26.54,-78.7,78.8,8.05
Sibu,75,MY,1553360400,94,2.29,111.83,78.8,1.12
Provideniya,92,RU,1553365422,100,64.42,-173.23,15.07,12.24
Aswan,0,EG,1553360400,22,24.09,32.9,87.8,6.93
Davila,48,PH,1553365422,99,18.47,120.58,76.54,24.54
Visby,0,SE,1553365001,79,57.64,18.3,45.0,11.41
Lardos,0,GR,1553365264,77,36.09,28.02,66.0,4.7
Uvira,0,CD,1553365423,100,-3.41,29.14,64.21,1.95
Champerico,5,MX,1553363160,40,16.38,-93.6,86.0,6.93
Twante,0,MM,1553362200,69,16.72,95.93,80.6,3.36
Tura,0,IN,1553365138,57,25.52,90.21,63.22,3.85
Mananjary,92,MG,1553365427,97,-19.16,46.8,61.87,2.95
Wana,12,PK,1553365427,91,32.31,69.59,35.05,2.06
Bandarbeyla,36,SO,1553365427,100,9.49,50.81,81.04,9.44
Havre-Saint-Pierre,90,CA,1553362680,86,50.23,-63.6,30.2,17.22
Aljezur,0,PT,1553365409,72,37.31,-8.8,66.0,9.44
Maniitsoq,56,GL,1553365428,99,65.42,-52.9,5.26,14.7
Plettenberg Bay,12,ZA,1553365428,93,-34.05,23.37,70.24,6.2
Chesterfield,1,US,1553365100,18,34.74,-80.09,64.99,10.29
Bethel,90,US,1553363760,80,60.79,-161.76,35.6,8.05
Itarema,92,BR,1553365429,97,-2.92,-39.92,79.6,5.08
Rawson,68,AR,1553365429,45,-43.3,-65.11,66.1,24.09
Pokhara,0,NP,1553365430,46,28.21,83.99,53.32,4.85
Karratha,92,AU,1553365430,58,-20.74,116.85,82.57,38.41
Bol,32,TD,1553365430,14,13.47,14.72,92.74,5.3
Sambava,32,MG,1553365065,100,-14.27,50.17,83.02,16.15
Padang,24,ID,1553365430,100,-0.92,100.36,78.52,3.96
Uitenhage,0,ZA,1553364000,88,-33.77,25.4,69.8,10.29
Rumoi,80,JP,1553365431,85,43.93,141.67,20.02,7.87
Mocuba,92,MZ,1553365431,95,-16.84,36.99,74.92,3.96
Atambua,88,ID,1553365431,100,-9.11,124.89,74.56,1.39
Ambovombe,48,MG,1553365432,90,-25.18,46.09,76.27,19.73
Caxito,40,BR,1553364000,65,-22.65,-42.51,82.4,10.29
Camacha,75,PT,1553362200,67,33.08,-16.33,64.4,13.87
Shimoda,0,JP,1553365432,100,34.7,138.93,47.2,5.19
Naze,75,NG,1553364000,74,5.43,7.07,86.0,5.82
Gobabis,76,NA,1553365078,29,-22.45,18.97,82.03,5.53
Zyryanka,0,RU,1553365433,64,65.73,150.89,-3.93,2.73
Rio Gallegos,75,AR,1553360400,87,-51.62,-69.22,53.6,5.82
Polis,20,CY,1553364956,87,35.04,32.42,53.6,4.7
Sinnamary,92,GF,1553365433,87,5.38,-52.96,82.39,11.34
Parkes,8,AU,1553365195,55,-33.14,148.18,75.0,3.96
North Bend,75,US,1553365408,81,43.41,-124.22,52.0,3.74
Sazonovo,8,RU,1553365352,58,54.2,39.81,36.0,1.99
Mossendjo,92,CG,1553365434,100,-2.95,12.72,70.96,2.73
Mampong,64,GH,1553365434,73,7.06,-1.4,81.04,8.66
Saquena,68,PE,1553365435,73,-4.67,-73.52,84.73,5.75
Znamenskoye,8,RU,1553365435,65,57.13,73.82,13.0,3.4
Seoul,1,KR,1553363760,74,37.57,126.98,37.4,2.24
Whitehaven,40,US,1553365386,36,35.03,-90.03,70.0,9.17
Ughelli,44,NG,1553365437,61,5.49,6.0,85.54,10.45
Glasgow,20,GB,1553365178,81,55.86,-4.24,46.0,6.93
Sakaiminato,75,JP,1553365092,80,35.55,133.23,39.2,8.05
Mitu,48,IR,1553365437,85,36.2,46.09,33.07,2.95
Guiratinga,0,BR,1553365331,47,-16.35,-53.76,92.29,4.63
Sabaudia,5,IT,1553365425,87,41.3,13.03,60.8,3.36
Coquimbo,75,CL,1553364000,77,-29.95,-71.34,60.8,10.29
Vardo,1,US,1553365216,31,39.62,-77.74,50.0,17.22
Manokwari,36,ID,1553365438,100,-0.87,134.08,79.69,7.76
Kalakamati,0,BW,1553364000,53,-20.59,27.31,73.4,6.93
Bonthe,68,SL,1553365439,64,7.53,-12.5,86.35,5.64
